,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather,time,location
0,1,September 11,at Minnesota Vikings,L 7–23,0–1,U.S. Bank Stadium,Recap,Green Bay Packers,None (indoor stadium),3:25 p.m. CDT,"U.S. Bank Stadium, Minneapolis, Minnesota"
1,2,September 18,Chicago Bears,W 27–10,1–1,Lambeau Field,Recap,Green Bay Packers,"Cloudy, 73 °F (23 °C)",7:20 p.m. CDT,"Lambeau Field, Green Bay, Wisconsin"
2,3,September 25,at Tampa Bay Buccaneers,W 14–12,2–1,Raymond James Stadium,Recap,Green Bay Packers,"Cloudy, 88 °F (31 °C)",4:25 p.m. EDT/3:25 p.m. CDT,"Raymond James Stadium, Tampa, Florida"
3,4,October 2,New England Patriots,W 27–24 (OT),3–1,Lambeau Field,Recap,Green Bay Packers,"Sunny, 66 °F (19 °C)",3:25 p.m. CDT,"Lambeau Field, Green Bay, Wisconsin"
4,5,October 9,New York Giants,L 22–27,3–2,Tottenham Hotspur Stadium (London),Recap,Green Bay Packers,"Sunny, 64 °F (18 °C)",2:30 p.m. BST/8:30 a.m. CDT,"Tottenham Hotspur Stadium, London, England"
5,6,October 16,New York Jets,L 10–27,3–3,Lambeau Field,Recap,Green Bay Packers,"Cloudy, 49 °F (9 °C)",12:00 p.m. CDT,"Lambeau Field, Green Bay, Wisconsin"
6,7,October 23,at Washington Commanders,L 21–23,3–4,FedExField,Recap,Green Bay Packers,"Cloudy, 62 °F (17 °C)",1:00 p.m. EDT/12:00 p.m. CDT,"FedExField, Landover, Maryland"
7,8,October 30,at Buffalo Bills,L 17–27,3–5,Highmark Stadium,Recap,Green Bay Packers,"Partly cloudy, 50 °F (10 °C)",8:20 p.m. EDT/7:20 p.m. CDT,"Highmark Stadium, Orchard Park, New York"
8,9,November 6,at Detroit Lions,L 9–15,3–6,Ford Field,Recap,Green Bay Packers,None (indoor stadium),1:00 p.m. EST/12:00 p.m. CST,"Ford Field, Detroit, Michigan"
9,10,November 13,Dallas Cowboys,W 31–28 (OT),4–6,Lambeau Field,Recap,Green Bay Packers,"Cloudy, 33 °F (1 °C)",3:25 p.m. CST,"Lambeau Field, Green Bay, Wisconsin"
10,11,November 17,Tennessee Titans,L 17–27,4–7,Lambeau Field,Recap,Green Bay Packers,"Cloudy, 26 °F (−3 °C)",7:20 p.m. CST,"Lambeau Field, Green Bay, Wisconsin"
11,12,November 27,at Philadelphia Eagles,L 33–40,4–8,Lincoln Financial Field,Recap,Green Bay Packers,"Cloudy, 61 °F (16 °C)",8:20 p.m. EST/7:20 p.m. CST,"Lincoln Financial Field, Philadelphia, Pennsylvania"
12,13,December 4,at Chicago Bears,W 28–19,5–8,Soldier Field,Recap,Green Bay Packers,"Sunny, 34 °F (1 °C)",12:00 p.m. CST,"Soldier Field, Chicago, Illinois"
13,14,Bye,Bye,Bye,Bye,Bye,Bye,Green Bay Packers,,,
14,15,December 19,Los Angeles Rams,W 24–12,6–8,Lambeau Field,Recap,Green Bay Packers,"Cloudy, 15 °F (−9 °C)",7:20 p.m. CST,"Lambeau Field, Green Bay, Wisconsin"
15,16,December 25,at Miami Dolphins,W 26–20,7–8,Hard Rock Stadium,Recap,Green Bay Packers,46 °F (8 °C),1:00 p.m. EST/12:00 p.m. CST,"Hard Rock Stadium, Miami Gardens, Florida"
16,17,"January 1, 2023",Minnesota Vikings,W 41–17,8–8,Lambeau Field,Recap,Green Bay Packers,,,
17,18,"January 8, 2023",Detroit Lions,L 16–20,8–9,Lambeau Field,Recap,Green Bay Packers,,,
