,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather,time,location
0,1,September 11,San Francisco 49ers,W 19–10,1–0,Soldier Field,Recap,Chicago Bears,"Cloudy, rain, 69 °F (21 °C)",12:00 p.m. CDT,"Soldier Field, Chicago, Illinois"
1,2,September 18,at Green Bay Packers,L 10–27,1–1,Lambeau Field,Recap,Chicago Bears,"Cloudy, 73 °F (23 °C)",7:20 p.m. CDT,"Lambeau Field, Green Bay, Wisconsin"
2,3,September 25,Houston Texans,W 23–20,2–1,Soldier Field,Recap,Chicago Bears,"Cloudy, 66 °F (19 °C)",12:00 p.m. CDT,"Soldier Field, Chicago, Illinois"
3,4,October 2,at New York Giants,L 12–20,2–2,MetLife Stadium,Recap,Chicago Bears,"Overcast, 58 °F (14 °C)",1:00 p.m. EDT/12:00 p.m. CDT,"MetLife Stadium, East Rutherford, New Jersey"
4,5,October 9,at Minnesota Vikings,L 22–29,2–3,U.S. Bank Stadium,Recap,Chicago Bears,None (indoor stadium),12:00 p.m. CDT,"U.S. Bank Stadium, Minneapolis, Minnesota"
5,6,October 13,Washington Commanders,L 7–12,2–4,Soldier Field,Recap,Chicago Bears,"Cloudy, 46 °F (8 °C)",7:15 p.m. CDT,"Soldier Field, Chicago, Illinois"
6,7,October 24,at New England Patriots,W 33–14,3–4,Gillette Stadium,Recap,Chicago Bears,"Foggy, 56 °F (13 °C)",8:15 p.m. EDT/7:15 p.m. CDT,"Gillette Stadium, Foxborough, Massachusetts"
7,8,October 30,at Dallas Cowboys,L 29–49,3–5,AT&T Stadium,Recap,Chicago Bears,66 °F (19 °C) (retractable roof open),12:00 p.m. CDT,"AT&T Stadium, Arlington, Texas"
8,9,November 6,Miami Dolphins,L 32–35,3–6,Soldier Field,Recap,Chicago Bears,"Sunny, 62 °F (17 °C)",12:00 p.m. CST,"Soldier Field, Chicago, Illinois"
9,10,November 13,Detroit Lions,L 30–31,3–7,Soldier Field,Recap,Chicago Bears,"Scattered clouds, 34 °F (1 °C)",12:00 p.m. CST,"Soldier Field, Chicago, Illinois"
10,11,November 20,at Atlanta Falcons,L 24–27,3–8,Mercedes-Benz Stadium,Recap,Chicago Bears,None (retractable roof closed),1:00 p.m. EST/12:00 p.m. CST,"Mercedes-Benz Stadium, Atlanta, Georgia"
11,12,November 27,at New York Jets,L 10–31,3–9,MetLife Stadium,Recap,Chicago Bears,"Rain, 52 °F (11 °C)",1:00 p.m. EST/12:00 p.m. CST,"MetLife Stadium, East Rutherford, New Jersey"
12,13,December 4,Green Bay Packers,L 19–28,3–10,Soldier Field,Recap,Chicago Bears,"Sunny, 34 °F (1 °C)",12:00 p.m. CST,"Soldier Field, Chicago, Illinois"
13,14,Bye,Bye,Bye,Bye,Bye,Bye,Chicago Bears,,,
14,15,December 18,Philadelphia Eagles,L 20–25,3–11,Soldier Field,Recap,Chicago Bears,"Sunny, 18 °F (−8 °C)",12:00 p.m. CST,"Soldier Field, Chicago, Illinois"
15,16,December 24,Buffalo Bills,L 13–35,3–12,Soldier Field,Recap,Chicago Bears,"Mostly sunny, 9 °F (−13 °C)",12:00 p.m. CST,"Soldier Field, Chicago, Illinois"
16,17,January 1,at Detroit Lions,L 10–41,3–13,Ford Field,Recap,Chicago Bears,None (indoor stadium),1:00 p.m. EST/12:00 p.m. CST,"Ford Field, Detroit, Michigan"
17,18,January 8,Minnesota Vikings,L 13–29,3–14,Soldier Field,Recap,Chicago Bears,"Mostly cloudy, 34 °F (1 °C)",12:00 p.m. CST,"Soldier Field, Chicago, Illinois"
18,Notes: * Intra-division opponents are in bold text. Legend: .mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{} # Games played with navy uniforms.  # Games played with white uniforms.  # Games played with alternate orange uniforms.  – Light green background indicates a victory.  – Light red background indicates a loss.,Notes: * Intra-division opponents are in bold text. Legend: .mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{} # Games played with navy uniforms.  # Games played with white uniforms.  # Games played with alternate orange uniforms.  – Light green background indicates a victory.  – Light red background indicates a loss.,Notes: * Intra-division opponents are in bold text. Legend: .mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{} # Games played with navy uniforms.  # Games played with white uniforms.  # Games played with alternate orange uniforms.  – Light green background indicates a victory.  – Light red background indicates a loss.,Notes: * Intra-division opponents are in bold text. Legend: .mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{} # Games played with navy uniforms.  # Games played with white uniforms.  # Games played with alternate orange uniforms.  – Light green background indicates a victory.  – Light red background indicates a loss.,Notes: * Intra-division opponents are in bold text. Legend: .mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{} # Games played with navy uniforms.  # Games played with white uniforms.  # Games played with alternate orange uniforms.  – Light green background indicates a victory.  – Light red background indicates a loss.,Notes: * Intra-division opponents are in bold text. Legend: .mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{} # Games played with navy uniforms.  # Games played with white uniforms.  # Games played with alternate orange uniforms.  – Light green background indicates a victory.  – Light red background indicates a loss.,Notes: * Intra-division opponents are in bold text. Legend: .mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{} # Games played with navy uniforms.  # Games played with white uniforms.  # Games played with alternate orange uniforms.  – Light green background indicates a victory.  – Light red background indicates a loss.,Chicago Bears,,,
