,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather,time,location
0,1,September 8,at Los Angeles Rams,W 31–10,1–0,SoFi Stadium,Recap,Buffalo Bills,"Cloudy, 88 °F (31 °C)",8:20 p.m. EDT/5:20 p.m. PDT,"SoFi Stadium, Inglewood, California"
1,2,September 19,Tennessee Titans,W 41–7,2–0,Highmark Stadium,Recap,Buffalo Bills,"Partly cloudy, 70 °F (21 °C)",7:15 p.m. EDT,"Highmark Stadium, Orchard Park, New York"
2,3,September 25,at Miami Dolphins,L 19–21,2–1,Hard Rock Stadium,Recap,Buffalo Bills,"Partly sunny, 89 °F (32 °C)",1:00 p.m. EDT,"Hard Rock Stadium, Miami Gardens, Florida"
3,4,October 2,at Baltimore Ravens,W 23–20,3–1,M&T Bank Stadium,Recap,Buffalo Bills,"Cloudy, showers, 52 °F (11 °C)",1:00 p.m. EDT,"M&T Bank Stadium, Baltimore, Maryland"
4,5,October 9,Pittsburgh Steelers,W 38–3,4–1,Highmark Stadium,Recap,Buffalo Bills,"Mostly cloudy, 55 °F (13 °C)",1:00 p.m. EDT,"Highmark Stadium, Orchard Park, New York"
5,6,October 16,at Kansas City Chiefs,W 24–20,5–1,Arrowhead Stadium,Recap,Buffalo Bills,62 °F (17 °C),4:25 p.m. EDT/3:25 p.m. CDT,"Arrowhead Stadium, Kansas City, Missouri"
6,7,Bye,Bye,Bye,Bye,Bye,Bye,Buffalo Bills,,,
7,8,October 30,Green Bay Packers,W 27–17,6–1,Highmark Stadium,Recap,Buffalo Bills,"Partly cloudy, 50 °F (10 °C)",8:20 p.m. EDT,"Highmark Stadium, Orchard Park, New York"
8,9,November 6,at New York Jets,L 17–20,6–2,MetLife Stadium,Recap,Buffalo Bills,"Warm and overcast, 76 °F (24 °C)",1:00 p.m. EST,"MetLife Stadium, East Rutherford, New Jersey"
9,10,November 13,Minnesota Vikings,L 30–33 (OT),6–3,Highmark Stadium,Recap,Buffalo Bills,"Cloudy, 38 °F (3 °C)",1:00 p.m. EST,"Highmark Stadium, Orchard Park, New York"
10,11,November 20,Cleveland Browns,W 31–23,7–3,Ford Field[I],Recap,Buffalo Bills,None (indoor stadium),1:00 p.m. EST,"Ford Field, Detroit, Michigan[I]"
11,12,November 24,at Detroit Lions,W 28–25,8–3,Ford Field,Recap,Buffalo Bills,None (indoor stadium),12:30 p.m. EST,"Ford Field, Detroit, Michigan"
12,13,December 1,at New England Patriots,W 24–10,9–3,Gillette Stadium,Recap,Buffalo Bills,"Clear, 35 °F (2 °C)",8:15 p.m. EST,"Gillette Stadium, Foxborough, Massachusetts"
13,14,December 11,New York Jets,W 20–12,10–3,Highmark Stadium,Recap,Buffalo Bills,"Rain showers, 37 °F (3 °C)",1:00 p.m. EST,"Highmark Stadium, Orchard Park, New York"
14,15,December 17,Miami Dolphins,W 32–29,11–3,Highmark Stadium,Recap,Buffalo Bills,"Cloudy, 30 °F (−1 °C)",8:15 p.m. EST,"Highmark Stadium, Orchard Park, New York"
15,16,December 24,at Chicago Bears,W 35–13,12–3,Soldier Field,Recap,Buffalo Bills,"Mostly sunny, 9 °F (−13 °C)",1:00 p.m. EST/12:00 p.m. CST,"Soldier Field, Chicago, Illinois"
16,17,January 2[II],at Cincinnati Bengals,No contest[60],No contest[60],No contest[60],No contest[60],Buffalo Bills,,,
17,18,January 8,New England Patriots,W 35–23,13–3,Highmark Stadium,Recap,Buffalo Bills,"Cloudy, 31 °F (−1 °C)",1:00 p.m. EST,"Highmark Stadium, Orchard Park, New York"
